to,from,p_value
OTU_87,OTU_1,0.99
OTU_88,OTU_1,0.99
OTU_89,OTU_1,0.99
OTU_90,OTU_1,0
OTU_91,OTU_1,0.99
OTU_92,OTU_1,0.99
OTU_93,OTU_1,0.99
OTU_94,OTU_1,0.99
OTU_95,OTU_1,0.99
OTU_96,OTU_1,0.99
OTU_97,OTU_1,0.99
OTU_98,OTU_1,0.99
OTU_99,OTU_1,0.99
OTU_100,OTU_1,0.99
OTU_101,OTU_1,0.99
OTU_102,OTU_1,0.99
OTU_103,OTU_1,0.2163514419852448
OTU_104,OTU_1,0.99
OTU_105,OTU_1,0.99
OTU_106,OTU_1,0.99
OTU_107,OTU_1,0.99
OTU_108,OTU_1,0.99
OTU_109,OTU_1,0.99
OTU_110,OTU_1,0.99
OTU_111,OTU_1,0.99
OTU_112,OTU_1,0.99
OTU_113,OTU_1,0.99
OTU_114,OTU_1,0.9803110475509476
OTU_115,OTU_1,0.99
OTU_116,OTU_1,0
OTU_117,OTU_1,0.99
OTU_118,OTU_1,0.99
OTU_119,OTU_1,0.99
OTU_120,OTU_1,0.99
OTU_121,OTU_1,0.99
OTU_122,OTU_1,0.99
OTU_123,OTU_1,0.99
OTU_124,OTU_1,0.99
OTU_125,OTU_1,0.99
OTU_126,OTU_1,0.99
OTU_127,OTU_1,0.99
OTU_1,OTU_2,0.99
OTU_2,OTU_2,0
OTU_3,OTU_2,0.99
OTU_4,OTU_2,0.99
OTU_5,OTU_2,0
OTU_6,OTU_2,0.99
OTU_7,OTU_2,0.99
OTU_8,OTU_2,0.99
OTU_9,OTU_2,0.99
OTU_10,OTU_2,0.99
OTU_11,OTU_2,0.99
OTU_12,OTU_2,0.99
OTU_13,OTU_2,0.99
OTU_14,OTU_2,0.99
OTU_15,OTU_2,0.99
OTU_16,OTU_2,0.99
OTU_17,OTU_2,0.99
OTU_18,OTU_2,0.99
OTU_19,OTU_2,0.99
OTU_20,OTU_2,0.99
OTU_21,OTU_2,0.99
OTU_22,OTU_2,0.99
OTU_23,OTU_2,0.99
OTU_24,OTU_2,0.99
OTU_25,OTU_2,0.99
OTU_26,OTU_2,0.99
OTU_27,OTU_2,0.99
OTU_28,OTU_2,0.99
OTU_29,OTU_2,0.99
OTU_30,OTU_2,0.99
OTU_31,OTU_2,0.99
OTU_32,OTU_2,0.99
OTU_33,OTU_2,0.99
OTU_34,OTU_2,0.99
OTU_35,OTU_2,0.99
OTU_36,OTU_2,0.99
OTU_37,OTU_2,0.99
OTU_38,OTU_2,0.99
OTU_39,OTU_2,0.99
OTU_40,OTU_2,0.99
OTU_41,OTU_2,0.99
OTU_42,OTU_2,0.99
OTU_43,OTU_2,0.99
OTU_44,OTU_2,0
OTU_45,OTU_2,0.99
OTU_46,OTU_2,0
OTU_47,OTU_2,0.99
OTU_48,OTU_2,0.99
OTU_49,OTU_2,0.99
OTU_50,OTU_2,0.99
OTU_51,OTU_2,0.99
OTU_52,OTU_2,0.99
OTU_53,OTU_2,0.99
OTU_54,OTU_2,0.99
OTU_55,OTU_2,0.99
OTU_56,OTU_2,0.99
OTU_57,OTU_2,0.99
OTU_58,OTU_2,0.99
OTU_59,OTU_2,0.99
OTU_60,OTU_2,0.99
OTU_61,OTU_2,0.99
OTU_62,OTU_2,0.99
OTU_63,OTU_2,0.99
OTU_64,OTU_2,0.99
OTU_65,OTU_2,0.99
OTU_66,OTU_2,0.99
OTU_67,OTU_2,0.99
OTU_68,OTU_2,0.99
OTU_69,OTU_2,0.99
OTU_70,OTU_2,0.99
OTU_71,OTU_2,0.99
OTU_72,OTU_2,0.99
OTU_73,OTU_2,0.99
OTU_74,OTU_2,0.99
OTU_75,OTU_2,0.99
OTU_76,OTU_2,0
OTU_77,OTU_2,0.99
OTU_78,OTU_2,0.99
OTU_79,OTU_2,0.99
OTU_80,OTU_2,0.99
OTU_81,OTU_2,0.99
OTU_82,OTU_2,0.99
OTU_83,OTU_2,0.99
OTU_84,OTU_2,0.99
OTU_85,OTU_2,0.99
OTU_86,OTU_2,0.99
OTU_87,OTU_2,0.99
OTU_88,OTU_2,0.99
OTU_89,OTU_2,0.99
OTU_90,OTU_2,0
OTU_91,OTU_2,0.99
OTU_92,OTU_2,0.99
OTU_93,OTU_2,0.99
OTU_94,OTU_2,0.99
OTU_95,OTU_2,0.99
OTU_96,OTU_2,0.99
OTU_97,OTU_2,0.99
OTU_98,OTU_2,0.99
OTU_99,OTU_2,0.99
OTU_100,OTU_2,0.99
OTU_101,OTU_2,0.99
OTU_102,OTU_2,0.99
OTU_103,OTU_2,0.11798829553767375
OTU_104,OTU_2,0.99
OTU_105,OTU_2,0.99
OTU_106,OTU_2,0.99
OTU_107,OTU_2,0.99
OTU_108,OTU_2,0.99
OTU_109,OTU_2,0.99
OTU_110,OTU_2,0.99
OTU_111,OTU_2,0.99
OTU_112,OTU_2,0.99
OTU_113,OTU_2,0.99
OTU_114,OTU_2,0.99
OTU_115,OTU_2,0.99
OTU_116,OTU_2,0
OTU_117,OTU_2,0.99
OTU_118,OTU_2,0.99
OTU_119,OTU_2,0.99
OTU_120,OTU_2,0.99
OTU_121,OTU_2,0.99
OTU_122,OTU_2,0.99
OTU_123,OTU_2,0.99
OTU_124,OTU_2,0.99
OTU_125,OTU_2,0.99
OTU_126,OTU_2,0.99
OTU_127,OTU_2,0.99
OTU_1,OTU_3,0.99
OTU_2,OTU_3,0.99
OTU_3,OTU_3,0
OTU_4,OTU_3,0.99
OTU_5,OTU_3,0
OTU_6,OTU_3,0.99
OTU_7,OTU_3,0.99
OTU_8,OTU_3,0.99
OTU_9,OTU_3,0.99
OTU_10,OTU_3,0.99
OTU_11,OTU_3,0.99
OTU_12,OTU_3,0.99
OTU_13,OTU_3,0.99
OTU_14,OTU_3,0.99
OTU_15,OTU_3,0.99
OTU_16,OTU_3,0.99
OTU_17,OTU_3,0.99
OTU_18,OTU_3,0.99
OTU_19,OTU_3,0.99
OTU_20,OTU_3,0.99
OTU_21,OTU_3,0.99
OTU_22,OTU_3,0.99
OTU_23,OTU_3,0.99
OTU_24,OTU_3,0.99
OTU_25,OTU_3,0.99
OTU_26,OTU_3,0.99
OTU_27,OTU_3,0.99
OTU_28,OTU_3,0.99
OTU_29,OTU_3,0.99
OTU_30,OTU_3,0.99
OTU_31,OTU_3,0.99
OTU_32,OTU_3,0.99
OTU_33,OTU_3,0.99
OTU_34,OTU_3,0.99
OTU_35,OTU_3,0.99
OTU_36,OTU_3,0.99
OTU_37,OTU_3,0.99
OTU_38,OTU_3,0.8526921512810085
OTU_39,OTU_3,0.99
OTU_40,OTU_3,0.99
OTU_41,OTU_3,0.99
OTU_42,OTU_3,0.99
OTU_43,OTU_3,0.99
OTU_44,OTU_3,0
OTU_45,OTU_3,0.99
OTU_46,OTU_3,0.30072715972653824
OTU_47,OTU_3,0.99
OTU_48,OTU_3,0.99
OTU_49,OTU_3,0.99
OTU_50,OTU_3,0.99
OTU_51,OTU_3,0.99
OTU_52,OTU_3,0.99
OTU_53,OTU_3,0.99
OTU_54,OTU_3,0.99
OTU_55,OTU_3,0.99
OTU_56,OTU_3,0.99
OTU_57,OTU_3,0.99
OTU_58,OTU_3,0.99
OTU_59,OTU_3,0.99
OTU_60,OTU_3,0.99
OTU_61,OTU_3,0.99
OTU_62,OTU_3,0.99
OTU_63,OTU_3,0.99
OTU_64,OTU_3,0.99
OTU_65,OTU_3,0.99
OTU_66,OTU_3,0.99
OTU_67,OTU_3,0.99
OTU_68,OTU_3,0.99
OTU_69,OTU_3,0.99
OTU_70,OTU_3,0.99
OTU_71,OTU_3,0.99
OTU_72,OTU_3,0.99
OTU_73,OTU_3,0.99
OTU_74,OTU_3,0.99
OTU_75,OTU_3,0.99
OTU_76,OTU_3,0.37883734586024664
OTU_77,OTU_3,0.99
OTU_78,OTU_3,0.99
OTU_79,OTU_3,0.99
OTU_80,OTU_3,0.99
OTU_81,OTU_3,0.99
OTU_82,OTU_3,0.99
OTU_83,OTU_3,0.99
OTU_84,OTU_3,0.99
OTU_85,OTU_3,0.99
OTU_86,OTU_3,0.99
OTU_87,OTU_3,0.99
OTU_88,OTU_3,0.99
OTU_89,OTU_3,0.99
OTU_90,OTU_3,0
OTU_91,OTU_3,0.99
OTU_92,OTU_3,0.99
OTU_93,OTU_3,0.99
OTU_94,OTU_3,0.99
OTU_95,OTU_3,0.99
OTU_96,OTU_3,0.99
OTU_97,OTU_3,0.99
OTU_98,OTU_3,0.99
OTU_99,OTU_3,0.99
OTU_100,OTU_3,0.91468809073724
OTU_101,OTU_3,0.99
OTU_102,OTU_3,0.99
OTU_103,OTU_3,0.5775089514066496
OTU_104,OTU_3,0.9803110475509476
OTU_105,OTU_3,0.99
OTU_106,OTU_3,0.99
OTU_107,OTU_3,0.99
OTU_108,OTU_3,0.99
OTU_109,OTU_3,0.99
OTU_110,OTU_3,0.99
OTU_111,OTU_3,0.99
OTU_112,OTU_3,0.99
OTU_113,OTU_3,0.99
OTU_114,OTU_3,0.99
OTU_115,OTU_3,0.99
OTU_116,OTU_3,0.11798829553767375
OTU_117,OTU_3,0.99
OTU_118,OTU_3,0.99
OTU_119,OTU_3,0.99
OTU_120,OTU_3,0.99
OTU_121,OTU_3,0.99
OTU_122,OTU_3,0.99
OTU_123,OTU_3,0.99
OTU_124,OTU_3,0.99
OTU_125,OTU_3,0.99
OTU_126,OTU_3,0.99
OTU_127,OTU_3,0.99
OTU_1,OTU_4,0.99
OTU_2,OTU_4,0.99
OTU_3,OTU_4,0.99
OTU_4,OTU_4,0
OTU_5,OTU_4,0
OTU_6,OTU_4,0.99
OTU_7,OTU_4,0.99
OTU_8,OTU_4,0.99
OTU_9,OTU_4,0.99
OTU_10,OTU_4,0.99
OTU_11,OTU_4,0.99
OTU_12,OTU_4,0.99
OTU_13,OTU_4,0.99
OTU_14,OTU_4,0.99
OTU_15,OTU_4,0.99
OTU_16,OTU_4,0.99
OTU_17,OTU_4,0.99
OTU_18,OTU_4,0.99
OTU_19,OTU_4,0.99
OTU_20,OTU_4,0.99
OTU_21,OTU_4,0.99
OTU_22,OTU_4,0.99
OTU_23,OTU_4,0.99
OTU_24,OTU_4,0.99
OTU_25,OTU_4,0.99
OTU_26,OTU_4,0.99
OTU_27,OTU_4,0.99
OTU_28,OTU_4,0.99
OTU_29,OTU_4,0.99
OTU_30,OTU_4,0.99
OTU_31,OTU_4,0.99
OTU_32,OTU_4,0.99
OTU_33,OTU_4,0.99
OTU_34,OTU_4,0.2163514419852448
OTU_35,OTU_4,0.99
OTU_36,OTU_4,0.99
OTU_37,OTU_4,0.99
OTU_38,OTU_4,0.99
OTU_39,OTU_4,0.99
OTU_40,OTU_4,0.99
OTU_41,OTU_4,0.99
OTU_42,OTU_4,0.99
OTU_43,OTU_4,0.99
OTU_44,OTU_4,0
OTU_45,OTU_4,0.99
OTU_46,OTU_4,0
OTU_47,OTU_4,0.99
OTU_48,OTU_4,0.99
OTU_49,OTU_4,0.99
OTU_50,OTU_4,0.11798829553767375
OTU_51,OTU_4,0.99
OTU_52,OTU_4,0.99
OTU_53,OTU_4,0.99
OTU_54,OTU_4,0.99
OTU_55,OTU_4,0.99
OTU_56,OTU_4,0.99
OTU_57,OTU_4,0.99
OTU_58,OTU_4,0.99
OTU_59,OTU_4,0.99
OTU_60,OTU_4,0.5205701990317374
OTU_61,OTU_4,0.99
OTU_62,OTU_4,0.99
OTU_63,OTU_4,0.99
OTU_64,OTU_4,0.99
OTU_65,OTU_4,0.99
OTU_66,OTU_4,0.99
OTU_67,OTU_4,0.99
OTU_68,OTU_4,0.99
OTU_69,OTU_4,0.99
OTU_70,OTU_4,0.99
OTU_71,OTU_4,0.99
OTU_72,OTU_4,0.99
OTU_73,OTU_4,0.99
OTU_74,OTU_4,0.99
OTU_75,OTU_4,0.99
OTU_76,OTU_4,0
OTU_77,OTU_4,0.99
OTU_78,OTU_4,0.99
OTU_79,OTU_4,0.99
OTU_80,OTU_4,0.99
OTU_81,OTU_4,0.99
OTU_82,OTU_4,0.99
OTU_83,OTU_4,0.99
OTU_84,OTU_4,0.37883734586024664
OTU_85,OTU_4,0.99
OTU_86,OTU_4,0.99
OTU_87,OTU_4,0.99
OTU_88,OTU_4,0.99
OTU_89,OTU_4,0.99
OTU_90,OTU_4,0
OTU_91,OTU_4,0.99
OTU_92,OTU_4,0.99
OTU_93,OTU_4,0.99
OTU_94,OTU_4,0.99
OTU_95,OTU_4,0.99
OTU_96,OTU_4,0.99
OTU_97,OTU_4,0.99
OTU_98,OTU_4,0.99
OTU_99,OTU_4,0.99
OTU_100,OTU_4,0.99
OTU_101,OTU_4,0.99
OTU_102,OTU_4,0.99
OTU_103,OTU_4,0
OTU_104,OTU_4,0.99
OTU_105,OTU_4,0.99
OTU_106,OTU_4,0.99
OTU_107,OTU_4,0.99
OTU_108,OTU_4,0.99
OTU_109,OTU_4,0.99
OTU_110,OTU_4,0.99
OTU_111,OTU_4,0.99
OTU_112,OTU_4,0.99
OTU_113,OTU_4,0.99
OTU_114,OTU_4,0.99
OTU_115,OTU_4,0.99
OTU_116,OTU_4,0
OTU_117,OTU_4,0.99
OTU_118,OTU_4,0.99
OTU_119,OTU_4,0.99
OTU_120,OTU_4,0.99
OTU_121,OTU_4,0.99
OTU_122,OTU_4,0.99
OTU_123,OTU_4,0.99
OTU_124,OTU_4,0.99
OTU_125,OTU_4,0.99
OTU_126,OTU_4,0.99
OTU_127,OTU_4,0.99
OTU_1,OTU_5,0
OTU_2,OTU_5,0
OTU_3,OTU_5,0
OTU_4,OTU_5,0
OTU_5,OTU_5,0
OTU_6,OTU_5,0.9803110475509476
OTU_7,OTU_5,0
OTU_8,OTU_5,0.8197712833545108
OTU_9,OTU_5,0
OTU_10,OTU_5,0
OTU_11,OTU_5,0
OTU_12,OTU_5,0.99
OTU_13,OTU_5,0
OTU_14,OTU_5,0
OTU_15,OTU_5,0
OTU_16,OTU_5,0.99
OTU_17,OTU_5,0
OTU_18,OTU_5,0
OTU_19,OTU_5,0
OTU_20,OTU_5,0
OTU_21,OTU_5,0.2163514419852448
OTU_22,OTU_5,0
OTU_23,OTU_5,0
OTU_24,OTU_5,0
OTU_25,OTU_5,0
OTU_26,OTU_5,0
OTU_27,OTU_5,0.11798829553767375
OTU_28,OTU_5,0
OTU_29,OTU_5,0.7275146594497068
OTU_30,OTU_5,0.30072715972653824
OTU_31,OTU_5,0
OTU_32,OTU_5,0
OTU_33,OTU_5,0.99
OTU_34,OTU_5,0.45485053581500284
OTU_35,OTU_5,0
OTU_36,OTU_5,0
OTU_37,OTU_5,0
OTU_38,OTU_5,0
OTU_39,OTU_5,0
OTU_40,OTU_5,0
OTU_41,OTU_5,0
OTU_42,OTU_5,0.99
OTU_43,OTU_5,0
OTU_44,OTU_5,0.99
OTU_45,OTU_5,0
OTU_46,OTU_5,0.99
OTU_47,OTU_5,0
OTU_48,OTU_5,0.30072715972653824
OTU_49,OTU_5,0.37883734586024664
OTU_50,OTU_5,0.99
OTU_51,OTU_5,0
OTU_52,OTU_5,0
OTU_53,OTU_5,0
OTU_54,OTU_5,0
OTU_55,OTU_5,0
OTU_56,OTU_5,0
OTU_57,OTU_5,0.2163514419852448
OTU_58,OTU_5,0
OTU_59,OTU_5,0
OTU_60,OTU_5,0
OTU_61,OTU_5,0
OTU_62,OTU_5,0
OTU_63,OTU_5,0
OTU_64,OTU_5,0
OTU_65,OTU_5,0
OTU_66,OTU_5,0
OTU_67,OTU_5,0
OTU_68,OTU_5,0
OTU_69,OTU_5,0
OTU_70,OTU_5,0
OTU_71,OTU_5,0
OTU_72,OTU_5,0
OTU_73,OTU_5,0.99
OTU_74,OTU_5,0
OTU_75,OTU_5,0
OTU_76,OTU_5,0.99
OTU_77,OTU_5,0
OTU_78,OTU_5,0
OTU_79,OTU_5,0
OTU_80,OTU_5,0
OTU_81,OTU_5,0
OTU_82,OTU_5,0.99
OTU_83,OTU_5,0.99
OTU_84,OTU_5,0.11798829553767375
OTU_85,OTU_5,0.8197712833545108
OTU_86,OTU_5,0
OTU_87,OTU_5,0
OTU_88,OTU_5,0.2163514419852448
OTU_89,OTU_5,0
OTU_90,OTU_5,0.99
OTU_91,OTU_5,0
OTU_92,OTU_5,0
OTU_93,OTU_5,0
OTU_94,OTU_5,0
OTU_95,OTU_5,0
OTU_96,OTU_5,0.9554387263976305
OTU_97,OTU_5,0.2163514419852448
OTU_98,OTU_5,0.99
OTU_99,OTU_5,0.37883734586024664
OTU_100,OTU_5,0
OTU_101,OTU_5,0.11798829553767375
OTU_102,OTU_5,0.37883734586024664
OTU_103,OTU_5,0.99
OTU_104,OTU_5,0.99
OTU_105,OTU_5,0
OTU_106,OTU_5,0
OTU_107,OTU_5,0
OTU_108,OTU_5,0
OTU_109,OTU_5,0
OTU_110,OTU_5,0
OTU_111,OTU_5,0
OTU_112,OTU_5,0
OTU_113,OTU_5,0.91468809073724
OTU_114,OTU_5,0.6818271488961953
OTU_115,OTU_5,0
OTU_116,OTU_5,0.99
OTU_117,OTU_5,0.2163514419852448
OTU_118,OTU_5,0
OTU_119,OTU_5,0.99
OTU_120,OTU_5,0
OTU_121,OTU_5,0
OTU_122,OTU_5,0
OTU_123,OTU_5,0
OTU_124,OTU_5,0
OTU_125,OTU_5,0
OTU_126,OTU_5,0
OTU_127,OTU_5,0
OTU_1,OTU_6,0.99
OTU_2,OTU_6,0.99
OTU_3,OTU_6,0.99
OTU_4,OTU_6,0.99
OTU_5,OTU_6,0.9803110475509476
OTU_6,OTU_6,0
OTU_7,OTU_6,0.99
OTU_8,OTU_6,0.99
OTU_9,OTU_6,0.99
OTU_10,OTU_6,0.99
OTU_11,OTU_6,0.99
OTU_12,OTU_6,0.99
OTU_13,OTU_6,0.99
OTU_14,OTU_6,0.99
OTU_15,OTU_6,0.9803110475509476
OTU_16,OTU_6,0.99
OTU_17,OTU_6,0.99
OTU_18,OTU_6,0.99
OTU_19,OTU_6,0.99
OTU_20,OTU_6,0.99
OTU_21,OTU_6,0.99
OTU_22,OTU_6,0.99
OTU_23,OTU_6,0.99
OTU_24,OTU_6,0.99
OTU_25,OTU_6,0.99
OTU_26,OTU_6,0.99
OTU_27,OTU_6,0.99
OTU_28,OTU_6,0.99
OTU_29,OTU_6,0.99
OTU_30,OTU_6,0.99
OTU_31,OTU_6,0.99
OTU_32,OTU_6,0.99
OTU_33,OTU_6,0.99
OTU_34,OTU_6,0.7798637362637363
OTU_35,OTU_6,0.99
OTU_36,OTU_6,0.99
OTU_37,OTU_6,0.99
OTU_38,OTU_6,0.99
OTU_39,OTU_6,0.99
OTU_40,OTU_6,0.99
OTU_41,OTU_6,0.99
OTU_42,OTU_6,0.99
OTU_43,OTU_6,0.99
OTU_44,OTU_6,0.6260650169820475
OTU_45,OTU_6,0.99
OTU_46,OTU_6,0.99
OTU_47,OTU_6,0.99
OTU_48,OTU_6,0.99
OTU_49,OTU_6,0.99
OTU_50,OTU_6,0.8197712833545108
OTU_51,OTU_6,0.99
OTU_52,OTU_6,0.99
OTU_53,OTU_6,0.99
OTU_54,OTU_6,0.99
OTU_55,OTU_6,0.99
OTU_56,OTU_6,0.99
OTU_57,OTU_6,0.91468809073724
OTU_58,OTU_6,0.99
OTU_59,OTU_6,0.99
OTU_60,OTU_6,0.884473168820995
OTU_61,OTU_6,0.99
OTU_62,OTU_6,0.99
OTU_63,OTU_6,0.99
OTU_64,OTU_6,0.99
OTU_65,OTU_6,0.99
OTU_66,OTU_6,0.99
OTU_67,OTU_6,0.99
OTU_68,OTU_6,0.99
OTU_69,OTU_6,0.99
OTU_70,OTU_6,0.99
OTU_71,OTU_6,0.99
OTU_72,OTU_6,0.99
OTU_73,OTU_6,0.99
OTU_74,OTU_6,0.99
OTU_75,OTU_6,0.99
OTU_76,OTU_6,0.99
OTU_77,OTU_6,0.99
OTU_78,OTU_6,0.99
OTU_79,OTU_6,0.99
OTU_80,OTU_6,0.99
OTU_81,OTU_6,0.99
OTU_82,OTU_6,0.99
OTU_83,OTU_6,0.99
OTU_84,OTU_6,0.99
OTU_85,OTU_6,0.99
OTU_86,OTU_6,0.99
OTU_87,OTU_6,0.99
OTU_88,OTU_6,0.99
OTU_89,OTU_6,0.99
OTU_90,OTU_6,0.99
OTU_91,OTU_6,0.99
OTU_92,OTU_6,0.99
OTU_93,OTU_6,0.99
OTU_94,OTU_6,0.99
OTU_95,OTU_6,0.99
OTU_96,OTU_6,0.99
OTU_97,OTU_6,0.99
OTU_98,OTU_6,0.99
OTU_99,OTU_6,0.99
OTU_100,OTU_6,0.99
OTU_101,OTU_6,0.99
OTU_102,OTU_6,0.99
OTU_103,OTU_6,0.99
OTU_104,OTU_6,0.99
OTU_105,OTU_6,0.99
OTU_106,OTU_6,0.99
OTU_107,OTU_6,0.99
OTU_108,OTU_6,0.99
OTU_109,OTU_6,0.99
OTU_110,OTU_6,0.99
OTU_111,OTU_6,0.99
OTU_112,OTU_6,0.99
OTU_113,OTU_6,0.99
OTU_114,OTU_6,0.99
OTU_115,OTU_6,0.99
OTU_116,OTU_6,0.99
OTU_117,OTU_6,0.99
OTU_118,OTU_6,0.99
OTU_119,OTU_6,0.99
OTU_120,OTU_6,0.99
OTU_121,OTU_6,0.99
OTU_122,OTU_6,0.99
OTU_123,OTU_6,0.99
OTU_124,OTU_6,0.99
OTU_125,OTU_6,0.99
OTU_126,OTU_6,0.99
OTU_127,OTU_6,0.99
OTU_1,OTU_7,0.99
OTU_2,OTU_7,0.99
OTU_3,OTU_7,0.99
OTU_4,OTU_7,0.99
OTU_5,OTU_7,0
OTU_6,OTU_7,0.99
OTU_7,OTU_7,0
OTU_8,OTU_7,0.99
OTU_9,OTU_7,0.99
OTU_10,OTU_7,0.99
OTU_11,OTU_7,0.99
OTU_12,OTU_7,0.99
OTU_13,OTU_7,0.99
OTU_14,OTU_7,0.99
OTU_15,OTU_7,0.99
OTU_16,OTU_7,0.99
OTU_17,OTU_7,0.99
OTU_18,OTU_7,0.99
OTU_19,OTU_7,0.99
OTU_20,OTU_7,0.99
OTU_21,OTU_7,0.99
OTU_22,OTU_7,0.99
OTU_23,OTU_7,0.99
OTU_24,OTU_7,0.99
OTU_25,OTU_7,0.99
OTU_26,OTU_7,0.99
OTU_27,OTU_7,0.99
OTU_28,OTU_7,0.99
OTU_29,OTU_7,0.99
OTU_30,OTU_7,0.99
OTU_31,OTU_7,0.99
OTU_32,OTU_7,0.99
OTU_33,OTU_7,0.99
OTU_34,OTU_7,0.7275146594497068
OTU_35,OTU_7,0.99
OTU_36,OTU_7,0.99
OTU_37,OTU_7,0.99
OTU_38,OTU_7,0.99
OTU_39,OTU_7,0.99
OTU_40,OTU_7,0.99
OTU_41,OTU_7,0.99
OTU_42,OTU_7,0.99
OTU_43,OTU_7,0.99
OTU_44,OTU_7,0
OTU_45,OTU_7,0.99
OTU_46,OTU_7,0
OTU_47,OTU_7,0.99
OTU_48,OTU_7,0.99
OTU_49,OTU_7,0.99
OTU_50,OTU_7,0.30072715972653824
OTU_51,OTU_7,0.99
OTU_52,OTU_7,0.99
OTU_53,OTU_7,0.99
OTU_54,OTU_7,0.99
OTU_55,OTU_7,0.99
OTU_56,OTU_7,0.99
OTU_57,OTU_7,0.99
OTU_58,OTU_7,0.99
OTU_59,OTU_7,0.99
OTU_60,OTU_7,0.8526921512810085
OTU_61,OTU_7,0.99
OTU_62,OTU_7,0.99
OTU_63,OTU_7,0.99
OTU_64,OTU_7,0.99
OTU_65,OTU_7,0.99
OTU_66,OTU_7,0.99
OTU_67,OTU_7,0.99
OTU_68,OTU_7,0.99
OTU_69,OTU_7,0.99
OTU_70,OTU_7,0.99
OTU_71,OTU_7,0.99
OTU_72,OTU_7,0.99
OTU_73,OTU_7,0.99
OTU_74,OTU_7,0.99
OTU_75,OTU_7,0.99
OTU_76,OTU_7,0
OTU_77,OTU_7,0.99
OTU_78,OTU_7,0.99
OTU_79,OTU_7,0.99
OTU_80,OTU_7,0.99
OTU_81,OTU_7,0.99
OTU_82,OTU_7,0.6260650169820475
OTU_83,OTU_7,0.99
OTU_84,OTU_7,0.2163514419852448
OTU_85,OTU_7,0.99
OTU_86,OTU_7,0.99
OTU_87,OTU_7,0.99
OTU_88,OTU_7,0.99
OTU_89,OTU_7,0.99
OTU_90,OTU_7,0
OTU_91,OTU_7,0.99
OTU_92,OTU_7,0.99
OTU_93,OTU_7,0.99
OTU_94,OTU_7,0.99
OTU_95,OTU_7,0.99
OTU_96,OTU_7,0.99
OTU_97,OTU_7,0.99
OTU_98,OTU_7,0.99
OTU_99,OTU_7,0.99
OTU_100,OTU_7,0.99
OTU_101,OTU_7,0.99
OTU_102,OTU_7,0.99
OTU_103,OTU_7,0.6260650169820475
OTU_104,OTU_7,0.99
OTU_105,OTU_7,0.99
OTU_106,OTU_7,0.99
OTU_107,OTU_7,0.99
OTU_108,OTU_7,0.99
OTU_109,OTU_7,0.99
OTU_110,OTU_7,0.99
OTU_111,OTU_7,0.99
